"","DMA","scores","sd","count","Region","date"
"1",501,0.53,1.31,19,"New York, NY","Tue Jun 30 23:12:50 2015"
"2",504,-1.83,2.86,6,"Philadelphia, PA","Tue Jun 30 23:12:50 2015"
"3",505,-0.22,0.67,9,"Detroit, MI","Tue Jun 30 23:12:50 2015"
"4",506,0.8,2.28,5,"Boston, MA-Manchester, NH","Tue Jun 30 23:12:50 2015"
"5",507,-0.5,0.71,2,"Savannah, GA","Tue Jun 30 23:12:50 2015"
"6",508,0,0,2,"Pittsburgh, PA","Tue Jun 30 23:12:50 2015"
"7",509,-1,1.41,2,"Ft. Wayne, IN","Tue Jun 30 23:12:50 2015"
"8",510,-0.44,1.74,9,"Cleveland-Akron (Canton), OH","Tue Jun 30 23:12:50 2015"
"9",511,-0.17,0.98,6,"Washington, DC (Hagerstown, MD)","Tue Jun 30 23:12:50 2015"
"10",512,0.2,0.45,5,"Baltimore, MD","Tue Jun 30 23:12:50 2015"
"11",513,0.5,0.71,2,"Flint-Saginaw-Bay City, MI","Tue Jun 30 23:12:50 2015"
"12",514,-1,2,4,"Buffalo, NY","Tue Jun 30 23:12:50 2015"
"13",515,2,4.69,4,"Cincinnati, OH","Tue Jun 30 23:12:50 2015"
"14",517,-1,2,4,"Charlotte, NC","Tue Jun 30 23:12:50 2015"
"15",520,0,NA,1,"Augusta, GA","Tue Jun 30 23:12:50 2015"
"16",521,0,NA,1,"Providence, RI-New Bedford, MA","Tue Jun 30 23:12:50 2015"
"17",522,-0.4,0.89,5,"Columbus, GA","Tue Jun 30 23:12:50 2015"
"18",524,-2,4.07,12,"Atlanta, GA","Tue Jun 30 23:12:50 2015"
"19",525,-2.5,0.71,2,"Albany, GA","Tue Jun 30 23:12:50 2015"
"20",527,-1.33,2.31,3,"Indianapolis, IN","Tue Jun 30 23:12:50 2015"
"21",528,0.4,1.14,5,"Miami-Ft. Lauderdale, FL","Tue Jun 30 23:12:50 2015"
"22",529,0.33,0.58,3,"Louisville, KY","Tue Jun 30 23:12:50 2015"
"23",530,0,NA,1,"Tallahassee, FL-Thomasville, GA","Tue Jun 30 23:12:50 2015"
"24",533,-0.33,0.58,3,"Hartford & New Haven, CT","Tue Jun 30 23:12:50 2015"
"25",534,-2,3.46,3,"Orlando-Daytona Beach-Melbourne, FL","Tue Jun 30 23:12:50 2015"
"26",535,0.17,0.41,6,"Columbus, OH","Tue Jun 30 23:12:50 2015"
"27",536,0,NA,1,"Youngstown, OH","Tue Jun 30 23:12:50 2015"
"28",539,-0.5,1,4,"Tampa-St Petersburg (Sarasota), FL","Tue Jun 30 23:12:50 2015"
"29",542,0,0,5,"Dayton, OH","Tue Jun 30 23:12:50 2015"
"30",544,0.38,1.06,8,"Norfolk-Portsmouth-Newport News,VA","Tue Jun 30 23:12:50 2015"
"31",545,0,NA,1,"Greenville-New Bern-Washington, NC","Tue Jun 30 23:12:50 2015"
"32",547,0.75,1.5,4,"Toledo, OH","Tue Jun 30 23:12:50 2015"
"33",548,1.33,2.89,3,"West Palm Beach-Ft. Pierce, FL","Tue Jun 30 23:12:50 2015"
"34",555,0,NA,1,"Syracuse, NY","Tue Jun 30 23:12:50 2015"
"35",556,2,NA,1,"Richmond-Petersburg, VA","Tue Jun 30 23:12:50 2015"
"36",560,0,0,2,"Raleigh-Durham (Fayetteville), NC","Tue Jun 30 23:12:50 2015"
"37",563,0.5,0.71,2,"Grand Rapids-Kalamazoo-Battle Creek, MI","Tue Jun 30 23:12:50 2015"
"38",564,3,NA,1,"Charleston-Huntington, WV","Tue Jun 30 23:12:50 2015"
"39",566,0,0,2,"Harrisburg-Lancaster-Lebanon-York, PA","Tue Jun 30 23:12:50 2015"
"40",567,0,NA,1,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC","Tue Jun 30 23:12:50 2015"
"41",570,2,NA,1,"Florence-Myrtle Beach, SC","Tue Jun 30 23:12:50 2015"
"42",573,-2.67,2.31,3,"Roanoke-Lynchburg, VA","Tue Jun 30 23:12:50 2015"
"43",577,3,NA,1,"Wilkes Barre-Scranton, PA","Tue Jun 30 23:12:50 2015"
"44",600,3,5.2,3,"Corpus Christi, TX","Tue Jun 30 23:12:50 2015"
"45",602,-0.14,2.26,29,"Chicago, IL","Tue Jun 30 23:12:50 2015"
"46",603,1,NA,1,"Joplin, MO-Pittsburg, KS","Tue Jun 30 23:12:50 2015"
"47",609,0,NA,1,"St. Louis, MO","Tue Jun 30 23:12:50 2015"
"48",611,0,NA,1,"Rochester, MN-Mason City, IA-Austin, MN","Tue Jun 30 23:12:50 2015"
"49",613,1,1.41,7,"Minneapolis-St. Paul, MN","Tue Jun 30 23:12:50 2015"
"50",616,0.5,1,4,"Kansas City, MO","Tue Jun 30 23:12:50 2015"
"51",617,1.8,4.02,5,"Milwaukee, WI","Tue Jun 30 23:12:50 2015"
"52",618,-0.33,2.47,30,"Houston, TX","Tue Jun 30 23:12:50 2015"
"53",619,-1,NA,1,"Springfield, MO","Tue Jun 30 23:12:50 2015"
"54",622,-0.5,1.27,10,"New Orleans, LA","Tue Jun 30 23:12:50 2015"
"55",623,0.41,1.97,34,"Dallas-Ft. Worth, TX","Tue Jun 30 23:12:50 2015"
"56",628,0.33,2.52,3,"Monroe, LA-El Dorado, AR","Tue Jun 30 23:12:50 2015"
"57",630,0,NA,1,"Birmingham, AL","Tue Jun 30 23:12:50 2015"
"58",634,2,NA,1,"Amarillo, TX","Tue Jun 30 23:12:50 2015"
"59",635,-1.17,2.86,6,"Austin, TX","Tue Jun 30 23:12:50 2015"
"60",636,-1,2.24,5,"Harlingen-Weslaco-Brownsville-McAllen, TX","Tue Jun 30 23:12:50 2015"
"61",639,-2,NA,1,"Jackson, TN","Tue Jun 30 23:12:50 2015"
"62",640,-2,3.46,3,"Memphis, TN","Tue Jun 30 23:12:50 2015"
"63",641,0.09,1.87,11,"San Antonio, TX","Tue Jun 30 23:12:50 2015"
"64",642,2,3.46,3,"Lafayette, LA","Tue Jun 30 23:12:50 2015"
"65",649,1,1.41,2,"Evansville, IN","Tue Jun 30 23:12:50 2015"
"66",650,0.67,1.15,3,"Oklahoma City, OK","Tue Jun 30 23:12:50 2015"
"67",652,2,2.83,2,"Omaha, NE","Tue Jun 30 23:12:50 2015"
"68",656,-3,2.83,2,"Panama City, FL","Tue Jun 30 23:12:50 2015"
"69",659,-0.29,1.8,7,"Nashville, TN","Tue Jun 30 23:12:50 2015"
"70",661,0,NA,1,"San Angelo, TX","Tue Jun 30 23:12:50 2015"
"71",662,0,NA,1,"Abilene-Sweetwater, TX","Tue Jun 30 23:12:50 2015"
"72",669,3,NA,1,"Madison, WI","Tue Jun 30 23:12:50 2015"
"73",671,0,0,4,"Tulsa, OK","Tue Jun 30 23:12:50 2015"
