,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
1,"Abbeville, LA",Abbeville,LA,12103,Abbeville,1017921,Louisiana,LA,"Lafayette, LA",642
2,"Abbeville, SC",Abbeville,SC,5547,Abbeville,1025495,South Carolina,SC,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",567
3,"Aberdeen, MD",Aberdeen,MD,13993,Aberdeen,1018501,Maryland,MD,"Baltimore, MD",512
4,"Aberdeen, MS",Aberdeen,MS,6089,Aberdeen,1020692,Mississippi,MS,"Columbus-Tupelo-West Point, MS",673
5,"Aberdeen, NC",Aberdeen,NC,5627,Aberdeen,1020981,North Carolina,NC,"Raleigh-Durham (Fayetteville), NC",560
6,"Aberdeen, SD",Aberdeen,SD,24460,Aberdeen,1025688,South Dakota,SD,"Sioux Falls(Mitchell), SD",725
7,"Aberdeen, WA",Aberdeen,WA,16042,Aberdeen,1027494,Washington,WA,"Seattle-Tacoma, WA",819
8,"Abilene, KS",Abilene,KS,6400,Abilene,1017386,Kansas,KS,"Wichita-Hutchinson, KS",678
9,"Abilene, TX",Abilene,TX,116484,Abilene,1026170,Texas,TX,"Abilene-Sweetwater, TX",662
10,"Abingdon, VA",Abingdon,VA,8009,Abingdon,1027013,Virginia,VA,"Tri-Cities, TN-VA",531
11,"Absecon, NJ",Absecon,NJ,8389,Absecon,1021994,New Jersey,NJ,"Philadelphia, PA",504
12,"Acworth, GA",Acworth,GA,19476,Acworth,1015243,Georgia,GA,"Atlanta, GA",524
13,"Ada, OH",Ada,OH,6052,Ada,1023521,Ohio,OH,"Columbus, OH",535
14,"Ada, OK",Ada,OK,16729,Ada,1024110,Oklahoma,OK,"Sherman, TX-Ada, OK",657
15,"Adamsville, AL",Adamsville,AL,4739,Adamsville,1012928,Alabama,AL,"Birmingham, AL",630
16,"Addison, IL",Addison,IL,36917,Addison,1016250,Illinois,IL,"Chicago, IL",602
17,"Addison, TX",Addison,TX,14964,Addison,1026171,Texas,TX,"Dallas-Ft. Worth, TX",623
18,"Adel, GA",Adel,GA,5396,Adel,1015245,Georgia,GA,"Albany, GA",525
19,"Adel, IA",Adel,IA,4428,Adel,1015623,Iowa,IA,"Des Moines-Ames, IA",679
20,"Adelanto, CA",Adelanto,CA,28553,Adelanto,1013525,California,CA,"Los Angeles, CA",803
21,"Adrian, MI",Adrian,MI,21391,Adrian,1019113,Michigan,MI,"Toledo, OH",547
22,"Agawam, MA",Agawam,MA,28091,Agawam,1018091,Massachusetts,MA,"Springfield-Holyoke, MA",543
23,"Agoura Hills, CA",Agoura Hills,CA,22283,Agoura Hills,1013526,California,CA,"Los Angeles, CA",803
