"","DMA","scores","sd","count","Region","date"
"1",500,0.05,0.54,20,"Portland-Auburn, ME",2015-06-23 21:22:27
"2",501,0.08,0.67,1305,"New York, NY",2015-06-23 21:22:27
"3",502,0,1.41,2,"Binghamton, NY",2015-06-23 21:22:27
"4",503,0.11,0.57,71,"Macon, GA",2015-06-23 21:22:27
"5",504,-0.01,0.7,704,"Philadelphia, PA",2015-06-23 21:22:27
"6",505,0.04,0.73,674,"Detroit, MI",2015-06-23 21:22:27
"7",506,0.04,0.71,346,"Boston, MA-Manchester, NH",2015-06-23 21:22:27
"8",507,-0.01,0.64,65,"Savannah, GA",2015-06-23 21:22:27
"9",508,0.07,0.82,149,"Pittsburgh, PA",2015-06-23 21:22:27
"10",509,0.14,0.78,72,"Ft. Wayne, IN",2015-06-23 21:22:27
"11",510,0.05,0.67,695,"Cleveland-Akron (Canton), OH",2015-06-23 21:22:27
"12",511,0.01,0.63,519,"Washington, DC (Hagerstown, MD)",2015-06-23 21:22:27
"13",512,-0.18,0.73,217,"Baltimore, MD",2015-06-23 21:22:27
"14",513,0.2,0.81,86,"Flint-Saginaw-Bay City, MI",2015-06-23 21:22:27
"15",514,0.1,0.77,206,"Buffalo, NY",2015-06-23 21:22:27
"16",515,0.08,0.6,166,"Cincinnati, OH",2015-06-23 21:22:27
"17",516,0.17,0.45,22,"Erie, PA",2015-06-23 21:22:27
"18",517,0.08,0.69,233,"Charlotte, NC",2015-06-23 21:22:27
"19",518,0,0.82,151,"Greensboro-High Point-Winston Salem, NC",2015-06-23 21:22:27
"20",519,-0.22,0.84,50,"Charleston, SC",2015-06-23 21:22:27
"21",520,-0.1,0.5,32,"Augusta, GA",2015-06-23 21:22:27
"22",521,0.11,0.73,119,"Providence, RI-New Bedford, MA",2015-06-23 21:22:27
"23",522,-0.03,0.75,96,"Columbus, GA",2015-06-23 21:22:27
"24",523,-0.5,0.79,4,"Burlington, VT-Plattsburgh, NY",2015-06-23 21:22:27
"25",524,0.02,0.72,534,"Atlanta, GA",2015-06-23 21:22:27
"26",525,-0.33,0.75,5,"Albany, GA",2015-06-23 21:22:27
"27",526,-0.08,0.61,13,"Utica, NY",2015-06-23 21:22:27
"28",527,0.04,0.66,338,"Indianapolis, IN",2015-06-23 21:22:27
"29",528,0.05,0.65,553,"Miami-Ft. Lauderdale, FL",2015-06-23 21:22:27
"30",529,-0.03,0.63,140,"Louisville, KY",2015-06-23 21:22:27
"31",530,0.03,0.67,74,"Tallahassee, FL-Thomasville, GA",2015-06-23 21:22:27
"32",531,0,0.7,17,"Tri-Cities, TN-VA",2015-06-23 21:22:27
"33",532,0.05,0.33,32,"Albany-Schenectady-Troy, NY",2015-06-23 21:22:27
"34",533,-0.01,0.76,147,"Hartford & New Haven, CT",2015-06-23 21:22:27
"35",534,-0.01,0.62,301,"Orlando-Daytona Beach-Melbourne, FL",2015-06-23 21:22:27
"36",535,0.01,0.73,315,"Columbus, OH",2015-06-23 21:22:27
"37",536,0.18,0.62,53,"Youngstown, OH",2015-06-23 21:22:27
"38",537,0.17,1.18,2,"Bangor, ME",2015-06-23 21:22:27
"39",538,-0.11,1.07,6,"Rochester, NY",2015-06-23 21:22:27
"40",539,0.08,0.7,142,"Tampa-St Petersburg (Sarasota), FL",2015-06-23 21:22:27
"41",540,0.12,0.25,8,"Traverse City-Cadillac, MI",2015-06-23 21:22:27
"42",541,0.11,0.46,39,"Lexington, KY",2015-06-23 21:22:27
"43",542,0.11,0.75,91,"Dayton, OH",2015-06-23 21:22:27
"44",543,0.14,0.72,44,"Springfield-Holyoke, MA",2015-06-23 21:22:27
"45",544,0.09,0.67,390,"Norfolk-Portsmouth-Newport News,VA",2015-06-23 21:22:27
"46",545,-0.3,0.81,37,"Greenville-New Bern-Washington, NC",2015-06-23 21:22:27
"47",546,0.01,1.41,24,"Columbia, SC",2015-06-23 21:22:27
"48",547,0.05,0.66,154,"Toledo, OH",2015-06-23 21:22:27
"49",548,0.14,0.82,113,"West Palm Beach-Ft. Pierce, FL",2015-06-23 21:22:27
"50",549,0.19,0.77,12,"Watertown, NY",2015-06-23 21:22:27
"51",550,0,0,2,"Wilmington, NC",2015-06-23 21:22:27
"52",551,-0.13,0.85,49,"Lansing, MI",2015-06-23 21:22:27
"53",552,0.25,0.5,4,"Presque Isle, ME",2015-06-23 21:22:27
"54",553,-0.07,0.15,5,"Marquette, MI",2015-06-23 21:22:27
"55",554,0.12,0.71,8,"Wheeling, WV-Steubenville, OH",2015-06-23 21:22:27
"56",555,-0.02,0.69,45,"Syracuse, NY",2015-06-23 21:22:27
"57",556,0,0.59,54,"Richmond-Petersburg, VA",2015-06-23 21:22:27
"58",557,0.13,0.95,86,"Knoxville, TN",2015-06-23 21:22:27
"59",558,0.19,0.4,18,"Lima, OH",2015-06-23 21:22:27
"60",559,-0.15,0.67,9,"Bluefield-Beckley-Oak Hill, WV",2015-06-23 21:22:27
"61",560,0.05,0.67,257,"Raleigh-Durham (Fayetteville), NC",2015-06-23 21:22:27
"62",561,-0.18,0.9,31,"Jacksonville, FL",2015-06-23 21:22:27
"63",563,-0.04,1,107,"Grand Rapids-Kalamazoo-Battle Creek, MI",2015-06-23 21:22:27
"64",564,0.14,0.74,19,"Charleston-Huntington, WV",2015-06-23 21:22:27
"65",565,0.12,0.64,8,"Elmira, NY",2015-06-23 21:22:27
"66",566,0.15,0.57,50,"Harrisburg-Lancaster-Lebanon-York, PA",2015-06-23 21:22:27
"67",567,0.14,0.55,103,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",2015-06-23 21:22:27
"68",569,-0.13,0.3,5,"Harrisonburg, VA",2015-06-23 21:22:27
"69",570,0.09,0.58,78,"Florence-Myrtle Beach, SC",2015-06-23 21:22:27
"70",571,0.05,0.68,42,"Ft. Myers-Naples, FL",2015-06-23 21:22:27
"71",573,0.03,0.95,58,"Roanoke-Lynchburg, VA",2015-06-23 21:22:27
"72",574,0.47,0.65,5,"Johnstown-Altoona, PA",2015-06-23 21:22:27
"73",575,0.03,0.55,51,"Chattanooga, TN",2015-06-23 21:22:27
"74",576,0.01,0.37,26,"Salisbury, MD",2015-06-23 21:22:27
"75",577,-0.23,0.75,32,"Wilkes Barre-Scranton, PA",2015-06-23 21:22:27
"76",581,0.3,0.82,11,"Terre Haute, IN",2015-06-23 21:22:27
"77",582,0.07,0.8,9,"Lafayette, IN",2015-06-23 21:22:27
"78",584,-0.09,1.18,19,"Charlottesville, VA",2015-06-23 21:22:27
"79",588,0.15,0.57,75,"South Bend-Elkhart, IN",2015-06-23 21:22:27
"80",592,0.12,0.54,16,"Gainesville, FL",2015-06-23 21:22:27
"81",596,0,NA,1,"Zanesville, OH",2015-06-23 21:22:27
